Italian,English
e,And
non,Not
che,That
di,Of
la,there
il,The
un,a
a,to
per,For
è,And
in,in
una,a
mi,me
sono,I am
ho,I have
l',the
si,Yes
ha,ha
ma,but
lo,the
cosa,What
con,with
no,No
le,the
ti,you
se,if
da,from
i,the
come,as
io,I
ci,There
hai,you have
questo,This
bene,Well
qui,here
sei,six
del,of
tu,you
solo,Alone
mio,my
al,al
me,me
tutto,All
c',there
te,tea
era,era
della,from the
mia,my
fatto,Done
fare,Do
essere,to be
so,I know
quando,When
sì,Yes
ora,Now
lei,she
gli,The
ne,no
oh,Oh
questa,this
detto,said
ok,ok
va,go
perche,Why
quello,that
mai,never
alla,at the
o,or
anche,Also
stato,state
abbiamo,we have
tutti,everyone
dei,of the
grazie,Thank you
chi,Who
sta,is
molto,Very
più,more
voglio,I want
perché,Why
tuo,your
beh,Well
sia,is
nel,In the
lui,him
allora,At that time
posso,I can
piu,more
ehi,Hey
prima,Before
tua,your
suo,his
niente,Nothing
qualcosa,something
sai,you know
siamo,we are
un',a
cosi,Like this
davvero,Really
ancora,Still
hanno,they have
stai,you are
fa,ago
sua,its
così,Like this
casa,house
uno,a
dove,Where
su,on
vero,True
vuoi,you want
noi,us
due,two
quindi,Therefore
dire,say
d',d'
delle,from the
quella,that
sempre,Always
altro,other
sto,I'm
andare,go
ad,to
po,bit
loro,They
devo,I have to
quel,that
forse,Perhaps
li,there
proprio,own
certo,Certain
tempo,time
nella,in the
poi,Then
vi,you
credo,I believe
vita,life
cose,things
sul,on the
quanto,How much
puoi,you can
fuori,out
anni,years
cui,which
andiamo,let's go
dell',of the
parte,part
visto,view
qualcuno,someone
all',to
lavoro,Work
voi,you
ciao,HI
dio,God
volta,time
dopo,After
adesso,Now
stata,was
uomo,man
padre,father
devi,you have to
bisogno,need
gia,Already
amico,Friend
ed,and
posto,place
nessuno,Nobody
via,away
cos',what is it
fai,you do
signore,Gentleman
meglio,Better
cazzo,fuck
dai,come on
dal,from the
vuole,wants
sembra,it seems
giorno,day
ogni,Everything is fine
modo,way
senza,without
vedere,see
dobbiamo,we have to
signor,Mr
qualche,some
dispiace,sorry
penso,I think
ecco,Here you are
parlare,speak
tra,Between
mamma,mom
già,Already
sarebbe,would be
dalla,from the
troppo,too
fosse,is
possiamo,we can
ce,there is
nuovo,new
male,bad
madre,mother
avete,you have
tanto,a lot
favore,favor
successo,success
vai,go
sulla,on the
giusto,Right
sa,you know
miei,my
aspetta,Wait
avere,have
altra,other
farlo,do it
alle,at
facendo,doing
abbia,have
momento,moment
ero,I was
aveva,I had
ragazzi,Boys
deve,must
persone,people
nostro,our
tipo,type
prego,Please
grande,big
può,can
senti,listen
appena,as soon as
potrebbe,could be
soldi,money
dice,he says
sapere,know
tre,Three
oggi,Today
questi,these
piace,pleases
idea,idea
siete,you are
ai,to the
avevo,I had
figlio,son
accordo,agreement
gente,people
sicuro,Safe
vieni,You come
degli,of the
guarda,Look
dentro,in
trovato,found
queste,these
